"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,224,"SYR","Syria",1,"Al <U+1E24>asakah",1,"Al-Hasakah","",NA,"","Mantika","District","",""
2,224,"SYR","Syria",1,"Al <U+1E24>asakah",2,"Al-Malikiyah","",NA,"","Mantika","District","",""
3,224,"SYR","Syria",1,"Al <U+1E24>asakah",3,"Al Qamishli","",NA,"","Mantika","District","",""
4,224,"SYR","Syria",1,"Al <U+1E24>asakah",4,"Ra's al-'Ayn","",NA,"","Mantika","District","",""
5,224,"SYR","Syria",2,"Aleppo",5,"'Ayn al-'Arab","",NA,"","Mantika","District","",""
6,224,"SYR","Syria",2,"Aleppo",6,"A'zaz","",NA,"","Mantika","District","",""
7,224,"SYR","Syria",2,"Aleppo",7,"Afrin","",NA,"","Mantika","District","",""
8,224,"SYR","Syria",2,"Aleppo",8,"Al Bab","",NA,"","Mantika","District","",""
9,224,"SYR","Syria",2,"Aleppo",9,"As-Safirah","",NA,"","Mantika","District","",""
10,224,"SYR","Syria",2,"Aleppo",10,"Jabal Sam'an","",NA,"","Mantika","District","",""
11,224,"SYR","Syria",2,"Aleppo",11,"Jarabulus","",NA,"","Mantika","District","",""
12,224,"SYR","Syria",2,"Aleppo",12,"Manbij","",NA,"","Mantika","District","",""
13,224,"SYR","Syria",3,"Ar Raqqah",13,"Ar-Raqqah","",NA,"","Mantika","District","",""
14,224,"SYR","Syria",3,"Ar Raqqah",14,"Ath-Thawrah","",NA,"","Mantika","District","",""
15,224,"SYR","Syria",3,"Ar Raqqah",15,"Tal Abyad","",NA,"","Mantika","District","",""
16,224,"SYR","Syria",4,"As Suwayda'",16,"As-Suwayda","",NA,"","Mantika","District","",""
17,224,"SYR","Syria",4,"As Suwayda'",17,"Salkhad","",NA,"","Mantika","District","",""
18,224,"SYR","Syria",4,"As Suwayda'",18,"Shahba","",NA,"","Mantika","District","",""
19,224,"SYR","Syria",5,"Damascus",19,"Damascus","",NA,"","Mantika","District","",""
20,224,"SYR","Syria",6,"Dar`a",20,"As-Sanamayn","",NA,"","Mantika","District","",""
21,224,"SYR","Syria",6,"Dar`a",21,"Daraa","",NA,"","Mantika","District","",""
22,224,"SYR","Syria",6,"Dar`a",22,"Izra'","",NA,"","Mantika","District","",""
23,224,"SYR","Syria",7,"Dayr Az Zawr",23,"Abu Kamal","",NA,"","Mantika","District","",""
24,224,"SYR","Syria",7,"Dayr Az Zawr",24,"Deir ez-Zor","",NA,"","Mantika","District","",""
25,224,"SYR","Syria",7,"Dayr Az Zawr",25,"Mayadin","",NA,"","Mantika","District","",""
26,224,"SYR","Syria",8,"Hamah",26,"As-Suqaylabiyah","",NA,"","Mantika","District","",""
27,224,"SYR","Syria",8,"Hamah",27,"Hama","",NA,"","Mantika","District","",""
28,224,"SYR","Syria",8,"Hamah",28,"Masyaf","",NA,"","Mantika","District","",""
29,224,"SYR","Syria",8,"Hamah",29,"Muhardeh","",NA,"","Mantika","District","",""
30,224,"SYR","Syria",8,"Hamah",30,"Salamiyah","",NA,"","Mantika","District","",""
31,224,"SYR","Syria",9,"Hims",31,"Al-Mukharram","",NA,"","Mantika","District","",""
32,224,"SYR","Syria",9,"Hims",32,"Al-Qusayr","",NA,"","Mantika","District","",""
33,224,"SYR","Syria",9,"Hims",33,"Ar-Rastan","",NA,"","Mantika","District","",""
34,224,"SYR","Syria",9,"Hims",34,"Hims","",NA,"","Mantika","District","",""
35,224,"SYR","Syria",9,"Hims",35,"Palmyra","",NA,"","Mantika","District","",""
36,224,"SYR","Syria",9,"Hims",36,"Talkalakh","",NA,"","Mantika","District","",""
37,224,"SYR","Syria",10,"Idlib",37,"Arihah","",NA,"","Mantika","District","",""
38,224,"SYR","Syria",10,"Idlib",38,"Harem","",NA,"","Mantika","District","",""
39,224,"SYR","Syria",10,"Idlib",39,"Idlib","",NA,"","Mantika","District","",""
40,224,"SYR","Syria",10,"Idlib",40,"Jisr ash-Shugur","",NA,"","Mantika","District","",""
41,224,"SYR","Syria",10,"Idlib",41,"Ma'arrat al-Numan","",NA,"","Mantika","District","",""
42,224,"SYR","Syria",11,"Lattakia",42,"Al-Haffah","",NA,"","Mantika","District","",""
43,224,"SYR","Syria",11,"Lattakia",43,"Jableh","",NA,"","Mantika","District","",""
44,224,"SYR","Syria",11,"Lattakia",44,"Latakia","",NA,"","Mantika","District","",""
45,224,"SYR","Syria",11,"Lattakia",45,"Qardaha","",NA,"","Mantika","District","",""
46,224,"SYR","Syria",12,"Quneitra",46,"Quneitra","",NA,"","Mantika","District","",""
47,224,"SYR","Syria",13,"Rif Dimashq",47,"Al-Qutayfah","",NA,"","Mantika","District","",""
